Preferred term,Category,Source,Source2,Variants,Var source,Variants2,Definition,Definition source,Applicable profession,Related term,Relationship,Related term 2,Relationship2,Main category,Flag,Notes,LCSH Heading,LCSH link,OHP Core
Film society,GT,PST,,,,,"A film society is a membership club where people can watch screenings of films which would otherwise not be shown in mainstream cinemas. In Spain, Ireland and Italy, they are known as ""cineclubs"", and in Germany they are known as ""filmclubs"". They usually have an educational aim, introducing new audiences to different audiovisual works through an organized and prepared program of screenings.",,,,,,,,,,,,
Film unions,GT,PST,,,,,,,,,,,,,,,,,
Filming location,TP,PST,,,,,"A place where some or all of a film or television series is produced, in addition to or instead of using sets constructed on a movie studio backlot or soundstage. In filmmaking, a location is any place where a film crew will be filming actors and recording their dialog.",,,,,,,,,,,,
Filmmaker,PC,PST,,,,,A person who directs or produces movies for the theater or television.,,,,,,,,,,,,
Filmmaking technology,TP,PST,,,,,,,,,,,,,,,,,
French New Wave,ET,PST,,Nouvelle Vague,,,Term coined by critics for a group of French filmmakers of the late 1950s and 1960s.French New Wave Cinema rejected traditional linear tropes of storytelling and created a new language of film,,,,,,,,,,,,
Fulbright Scholarship,GT,PST,,,,,Scholarship,,,,,,,,,,,,
Funding,GT,PST,,,,,Where the $ to make a film came from,,,,,,,,,,,,
Fundraising,GT,PST,,,,,"the seeking of financial support for a charity, cause, or other enterprise.",,,,,,,,,,,,
Golden Age of Mexican Cinema,GT,PST,,Mexican Studio System,,,"The golden age of Mexican cinema, which spanned the 1930s through to the 1950s, saw Mexico's film industry become one of the most productive in the world, exercising a decisive influence on national culture and identity.",,,,,,,,,,,,
Great Depression,GF,PST,,,,,worldwide economic downturn that began in 1929 and lasted until about 1939. It was the longest and most severe depression ever experienced by the industrialized Western world,,,,,,,,,,,,
Greek tragedy,GT,PST,,,,,"Is a form of theatre from Ancient Greece and Asia Minor. It reached its most significant form in Athens in the 5th century BC, the works of which are sometimes called Attic tragedy. Greek tragedy is widely believed to be an extension of the ancient rites carried out in honor of Dionysus, and it heavily influenced the theatre of Ancient Rome and the Renaissance",,,,,,,,,,,,
"Guadalajara, Mexico",GT,PST,,,,,"A city in western Mexico. It’s known for tequila and mariachi music, both born in Jalisco, the state of which Guadalajara is the capital. Guadalajara’s historic center is dotted with colonial plazas and landmarks such as the neoclassical Teatro Degollado",,,,,,,,,,,,
Guatemalan Civil War (1960-1994),ET,PST,,,,,"The Guatemalan Civil War ran from 1960 to 1996. It was fought between the government of Guatemala and various leftist rebel groups supported chiefly by ethnic Maya indigenous people and Ladino peasants, who together make up the rural poor",,,,,,,,,,,,
Hand-held camera,TP,PST,,,,,"Cinematographic technique where stable-image techniques are purposely dispensed with. The camera is held in the hand, or given the appearance of being hand-held, and in many cases shots are limited to what one photographer Often employed to give a film sequence an ad hoc, electronic news-gathering, or documentary film feel.",,,,,,,,,,,,
History of film,GT,PST,,,,,,,,,,,,,,,,,
History of Mexico,GT,PST,,,,,,,,,,,,,,,,,
"Hollywood, California",GT,PST,,,,,"Literal place in Los Angeles, also figurative place that is a stand in for the film industry",,,,,,,,,,,,
Home movies,TP,PST,,,,,A movie that one makes for people to watch in one's home and that is usually of the family or a family event,,,,,,,,,,,,
Homosexuality,GT,PST,,,,,Sexual attraction to people of one's own sex.,,,,,,,,,,,,
Horror,GF,PST,,,,,"calculated to cause intense repugnance, fear, or dread. Horror films may incorporate incidents of physical violence and psychological terror; they may be studies of deformed, disturbed, psychotic, or evil characters; stories of terrifying monsters or malevolent animals; or mystery thrillers that use atmosphere to build suspense. The genre often overlaps science-fiction films and film noir.",,,,,,,,,,,,
Horseback Riding,GT,PST,,,,,,,,,,,,,,,,,
Immigration,GT,PST,,,,,People from one country coming to another country to live; from a poor country lacking opportunity to a rich country with a promise of living a better life (US/Mexico/Central America),,,,,,,,,,,,
Improvisation,GT,PST,,,,,Something (such as a musical or dramatic composition) improvised,,,,,,,,,,,,
Independent film,GF,PST,,,,,Cinema outside Hollywood (in US) or out of the mainstream channels in Latin America.,,,,,,,,,,,,
Indigenous culture,GT,PST,,,,,"Produced, growing, living, or occurring naturally in a particular region or environment",,,,,,,,,,,,
Italian Neorealism,GF,PST,,,,,"a national film movement characterized by stories set amongst the poor and the working class, filmed on location, frequently using non-professional actors.",,,,,,,,,,,,
Jealousy,GT,PST,,,,,the state or feeling of being jealous,,,,,,,,,,,,
"Juarez, Mexico",GT,PST,,Ciudad Juarez,,,The largest city in the Mexican state of Chihuahua,,,,,,,,,,,,
Judaism,GT,PST,,,,,"monotheistic religion developed among the ancient Hebrews. Judaism is characterized by a belief in one transcendent God who revealed himself to Abraham, Moses, and the Hebrew prophets and by a religious life in accordance with Scriptures and rabbinic traditions. Judaism is the complex phenomenon of a total way of life for the Jewish people, comprising theology, law, and innumerable cultural traditions.",,,,,,,,,,,,
Judeo Christian tradition,GT,PST,,,,,,,,,,,,,,,,,
Junta,GT,PST,,,,,A military or political group that rules a country after taking power by force,,,,,,,,,,,,
Kidnapping,GT,PST,,,,,"Take (someone) away illegally by force, typically to obtain a ransom",,,,,,,,,,,,
Language,GT,PST,,,,,"A systematic means of communicating ideas or feelings by the use of conventionalized signs, sounds, gestures, or marks having understood meanings",,,,,,,,,,,,
"Laredo, Mexico",GT,PST,,,,,,,,,,,,,,,,,
Latin language,GT,PST,,,,,,,,,,,,,,,,,
Latino cinema,GT,PST,,,,,"Latino feature filmmaking has its roots in political activism of the late 1960s and early 1970s, and in particular the Chicano and Puerto Rican civil-rights movements. In the 1960s many Mexican Americans and other Latinos became involved with civil-rights activism, fighting for equal rights and respect for Latinos in US social institutions, including the mass media. These films of early Chicano and Latino cinema are notable for their anti-Hollywood and pro-movement ideals of promoting ethnic political consciousness and pride.",,,,,,,,,,,,
Latino culture,GT,PST,,,,,"Latinos/Hispanics are people with ancestry in Latin-American countries or the US Southwest, which was part of Mexico prior to 1848. The term ""Hispanic,"" which has been used by the US government since the 1970s, includes people whose ancestry can be traced back to Spain and other Spanish-speaking countries; it tends to emphasize European ancestry. Because many people choose not to trace their ancestry back to Europe, or hail from Latin-American countries that are not Spanish-dominant, the term ""Latino"" is increasingly a preferred term for individuals of Latin-American heritage. ""Latino"" also is written as ""Latino/a"" or ""Latina/o""; this designation combines the male designation of Latin o in Spanish with the female designation of Latin a to emphasize reference to both women and men. For the sake of clarity, the term ""Latino"" is used here to refer to both women and men.",,,,,,,,,,,,
Law School,GT,PST,,,,,An institution for postgraduates which trains students to become lawyers,,,,,,,,,,,,
Learning English,GT,PST,,,,,,,,,,,,,,,,,
